WireID;WireKey;Color;CrossSectionMM2;CrossSectionAWG;WireInformation;WireName;Customer;MinimumBendRadius;OuterDiameter;FontKey;EmptyField1;EmptyField2;EmptyField3
WH075;WH075;WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
BK075;BK075;BK;0,75;;;;;;1;FONT_WHITE_0.50-0.75;;;
BU075;BU075;BU;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
RD075;RD075;RD;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
GN/YE075;GN/YE075;GN/YE;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
DBU075;DBU075;DBU;0,75;;;;;;1;FONT_WHITE_0.50-0.75;;;
OG075;OG075;OG;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
BN075;BN075;BN;0,75;;;;;;1;FONT_WHITE_0.50-0.75;;;
VT075;VT075;VT;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
GY075;GY075;GY;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
BU/WH075;BU/WH075;BU/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
BK100;BK100;BK;1;;;;;;1;FONT_WHITE_1.0-2.5;;;
BU100;BU100;BU;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
RD100;RD100;RD;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
GN/YE100;GN/YE100;GN/YE;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
WH100;WH100;WH;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU100;DBU100;DBU;1;;;;;;1;FONT_WHITE_1.0-2.5;;;
OG100;OG100;OG;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
BN100;BN100;BN;1;;;;;;1;FONT_WHITE_1.0-2.5;;;
VT100;VT100;VT;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
GY100;GY100;GY;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
BU/WH100;BU/WH100;BU/WH;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
BK150;BK150;BK;1,5;;;;;;1;FONT_WHITE_1.0-2.5;;;
WH150;WH150;WH;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BU150;BU150;BU;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
RD150;RD150;RD;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
GN/YE150;GN/YE150;GN/YE;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU150;DBU150;DBU;1,5;;;;;;1;FONT_WHITE_1.0-2.5;;;
OG150;OG150;OG;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BN150;BN150;BN;1,5;;;;;;1;FONT_WHITE_1.0-2.5;;;
VT150;VT150;VT;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
GY150;GY150;GY;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BU/WH150;BU/WH150;BU/WH;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BK250;BK250;BK;2,5;;;;;;1;FONT_WHITE_1.0-2.5;;;
WH250;WH250;WH;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BU250;BU250;BU;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
RD250;RD250;RD;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
GN/YE250;GN/YE250;GN/YE;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU250;DBU250;DBU;2,5;;;;;;1;FONT_WHITE_1.0-2.5;;;
OG250;OG250;OG;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BN250;BN250;BN;2,5;;;;;;1;FONT_WHITE_1.0-2.5;;;
GY250;GY250;GY;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
BK400;BK400;BK;4;;;;;;1;FONT_WHITE_4.0-6.0;;;
BU400;BU400;BU;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
WH400;WH400;WH;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
RD400;RD400;RD;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
GN/YE400;GN/YE400;GN/YE;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU400;DBU400;DBU;4;;;;;;1;FONT_WHITE_4.0-6.0;;;
OG400;OG400;OG;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
BN400;BN400;BN;4;;;;;;1;FONT_WHITE_4.0-6.0;;;
GY400;GY400;GY;4;;;;;;1;FONT_BLACK_4.0-6.0;;;
DBU600;DBU600;DBU;6;;;;;;1;FONT_WHITE_4.0-6.0;;;
BK600;BK600;BK;6;;;;;;1;FONT_WHITE_4.0-6.0;;;
BN600;BN600;BN;6;;;;;;1;FONT_WHITE_4.0-6.0;;;
GY600;GY600;GY;6;;;;;;1;FONT_BLACK_4.0-6.0;;;
BU600;BU600;BU;6;;;;;;1;FONT_BLACK_4.0-6.0;;;
GN/YE600;GN/YE600;GN/YE;6;;;;;;1;FONT_BLACK_4.0-6.0;;;
BU/WH075;BU/WH075;BU/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
BU/WH250;BU/WH250;BU/WH;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH150;DBU/WH150;DBU/WH;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH250;DBU/WH250;DBU/WH;2,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
DBU/WH075;DBU/WH075;DBU/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
RD/WH075;RD/WH075;RD/WH;0,75;;;;;;1;FONT_BLACK_0.50-0.75;;;
RD/WH100;RD/WH100;RD/WH;1;;;;;;1;FONT_BLACK_1.0-2.5;;;
RD/WH150;RD/WH150;RD/WH;1,5;;;;;;1;FONT_BLACK_1.0-2.5;;;
